Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2024-06-04 00:00:00-04:00,41.39869915857631,41.57593430500174,41.27743113289655,41.547950744628906,2024-06-04,HSBC,23,Tuesday,41.45000383527588,2024,6,23
2024-06-05 00:00:00-04:00,41.370712511665694,41.41735652407046,41.03489910804573,41.18415069580078,2024-06-05,HSBC,23,Wednesday,41.251779709895665,2024,6,23
2024-06-06 00:00:00-04:00,41.47332317238336,41.62257475843595,41.3520587051421,41.547950744628906,2024-06-06,HSBC,23,Thursday,41.49897684514758,2024,6,23
2024-06-07 00:00:00-04:00,41.71585881194277,41.75316903925874,41.43600897722302,41.44533920288086,2024-06-07,HSBC,23,Friday,41.58759400782635,2024,6,23
2024-06-10 00:00:00-04:00,41.34272716997901,41.56660632118642,41.11885157720999,41.519962310791016,2024-06-10,HSBC,24,Monday,41.38703684479161,2024,6,24
2024-06-11 00:00:00-04:00,40.45654111351013,40.587135791920744,40.22333531393742,40.4099006652832,2024-06-11,HSBC,24,Tuesday,40.419228221162875,2024,6,24
2024-06-12 00:00:00-04:00,41.41735329646823,41.47332041349084,40.7923598750224,40.92295455932617,2024-06-12,HSBC,24,Wednesday,41.151497036076904,2024,6,24
2024-06-13 00:00:00-04:00,40.57781638284059,40.57781638284059,40.15804515684759,40.30729675292969,2024-06-13,HSBC,24,Thursday,40.405243668864614,2024,6,24
2024-06-14 00:00:00-04:00,40.22333922378463,40.33528058053604,39.952823174398155,40.31662368774414,2024-06-14,HSBC,24,Friday,40.20701666661574,2024,6,24
2024-06-17 00:00:00-04:00,40.475197311738384,40.773700445407385,40.35392930167346,40.764373779296875,2024-06-17,HSBC,25,Monday,40.591800209529026,2024,6,25
2024-06-18 00:00:00-04:00,40.79235812991506,41.0255639300347,40.65243678490614,40.78303146362305,2024-06-18,HSBC,25,Tuesday,40.813347577119735,2024,6,25
2024-06-20 00:00:00-04:00,41.21213598560076,41.408028035540944,41.12818174156372,41.324073791503906,2024-06-20,HSBC,25,Thursday,41.26810488855233,2024,6,25
2024-06-21 00:00:00-04:00,40.531167932756944,40.708403056138195,40.39124303220888,40.57780838012695,2024-06-21,HSBC,25,Friday,40.55215560030774,2024,6,25
2024-06-24 00:00:00-04:00,41.12817685033427,41.30541198513953,40.97892527406714,41.109519958496094,2024-06-24,HSBC,26,Monday,41.13050851700926,2024,6,26
2024-06-25 00:00:00-04:00,40.913630380281134,40.97892772640325,40.71773834191477,40.88564682006836,2024-06-25,HSBC,26,Tuesday,40.87398581716688,2024,6,26
2024-06-26 00:00:00-04:00,40.62444914629324,40.829671386457385,40.56848203238525,40.77370071411133,2024-06-26,HSBC,26,Wednesday,40.699075819811796,2024,6,26
2024-06-27 00:00:00-04:00,41.00691114370811,41.090865382492325,40.71773820001461,40.792362213134766,2024-06-27,HSBC,26,Thursday,40.90196923483745,2024,6,26
2024-06-28 00:00:00-04:00,40.72705994677381,40.82967106605065,40.4565403702145,40.57780838012695,2024-06-28,HSBC,26,Friday,40.64776994079148,2024,6,26
2024-07-01 00:00:00-04:00,40.96026621686624,41.212128905709484,40.80168798228239,40.86698532104492,2024-07-01,HSBC,27,Monday,40.960267106475754,2024,7,27
2024-07-02 00:00:00-04:00,40.894971561532934,41.14683426690281,40.75504665018135,41.11885070800781,2024-07-02,HSBC,27,Tuesday,40.97892579665623,2024,7,27
2024-07-03 00:00:00-04:00,41.053546739562435,41.230785421825374,40.81101427756848,40.9509391784668,2024-07-03,HSBC,27,Wednesday,41.01157140435577,2024,7,27
