Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close
2023-05-01,Monday,FMAG,DCA_Monthly,20.1,DCA,4.97399,100.0,134.90191,2800.0,2721.58,20.17
2023-06-05,Monday,FMAG,DCA_Monthly,20.85,DCA,4.79621,100.0,139.69813,2900.0,2907.81,20.81
2023-07-03,Monday,FMAG,DCA_Monthly,21.71,DCA,4.60673,100.0,144.30486,3000.0,3133.2,21.71
2023-08-07,Monday,FMAG,DCA_Monthly,22.03,DCA,4.53984,100.0,148.84469,3100.0,3291.39,22.11
2023-09-11,Monday,FMAG,DCA_Monthly,22.25,DCA,4.4948,100.0,153.33949,3200.0,3412.63,22.26
2023-10-02,Monday,FMAG,DCA_Monthly,21.25,DCA,4.70523,100.0,158.04472,3300.0,3359.31,21.26
2023-11-06,Monday,FMAG,DCA_Monthly,21.81,DCA,4.58506,100.0,162.62978,3400.0,3548.37,21.82
2023-12-04,Monday,FMAG,DCA_Monthly,23.0,DCA,4.34851,100.0,166.97829,3500.0,3840.52,23.0
2024-01-08,Monday,FMAG,DCA_Monthly,23.73,DCA,4.21412,100.0,171.19241,3600.0,4095.68,23.92
2024-02-05,Monday,FMAG,DCA_Monthly,26.0,DCA,3.84651,100.0,175.03892,3700.0,4554.75,26.02
2024-03-04,Monday,FMAG,DCA_Monthly,27.53,DCA,3.63186,100.0,178.67078,3800.0,4916.86,27.52
2024-04-01,Monday,FMAG,DCA_Monthly,28.01,DCA,3.56987,100.0,182.24065,3900.0,5101.55,27.99
2024-05-06,Monday,FMAG,DCA_Monthly,27.55,DCA,3.63022,100.0,185.87087,4000.0,5158.62,27.75
2024-06-03,Monday,FMAG,DCA_Monthly,28.15,DCA,3.55198,100.0,189.42285,4100.0,5338.55,28.18
2024-07-01,Monday,FMAG,DCA_Monthly,29.62,DCA,3.37572,100.0,192.79858,4200.0,5720.0,29.67
2024-08-05,Monday,FMAG,DCA_Monthly,27.2,DCA,3.67635,100.0,196.47493,4300.0,5389.43,27.43
2024-09-09,Monday,FMAG,DCA_Monthly,28.68,DCA,3.48705,100.0,199.96198,4400.0,5740.76,28.71
2024-10-07,Monday,FMAG,DCA_Monthly,30.42,DCA,3.28708,100.0,203.24906,4500.0,6170.52,30.36
2024-11-04,Monday,FMAG,DCA_Monthly,30.46,DCA,3.2828,100.0,206.53185,4600.0,6290.83,30.46
2024-12-02,Monday,FMAG,DCA_Monthly,31.96,DCA,3.12883,100.0,209.66068,4700.0,6715.07,32.03
2025-01-06,Monday,FMAG,DCA_Monthly,31.73,DCA,3.1511,100.0,212.81178,4800.0,6750.39,31.72
2025-02-03,Monday,FMAG,DCA_Monthly,31.9,DCA,3.13484,100.0,215.94662,4900.0,6931.89,32.1
2025-03-03,Monday,FMAG,DCA_Monthly,30.86,DCA,3.24031,100.0,219.18693,5000.0,6674.24,30.45
2025-04-07,Monday,FMAG,DCA_Monthly,26.09,DCA,3.83252,100.0,223.01945,5100.0,5918.94,26.54
2025-05-05,Monday,FMAG,DCA_Monthly,30.77,DCA,3.24976,100.0,226.26921,5200.0,6971.35,30.81
2025-06-02,Monday,FMAG,DCA_Monthly,32.63,DCA,3.06466,100.0,229.33387,5300.0,7517.56,32.78
2025-07-07,Monday,FMAG,DCA_Monthly,34.29,DCA,2.91598,100.0,232.24986,5400.0,7963.85,34.29
2025-08-04,Monday,FMAG,DCA_Monthly,34.93,DCA,2.86266,100.0,235.11252,5500.0,8257.15,35.12
2015-08-31,Monday,MSFT,DCA_Monthly,37.93,DCA,2.63652,100.0,2.63652,100.0,99.98,37.92
2015-09-14,Monday,MSFT,DCA_Monthly,37.64,DCA,2.65697,100.0,5.29348,200.0,198.53,37.5
2015-10-05,Monday,MSFT,DCA_Monthly,40.29,DCA,2.48172,100.0,7.77521,300.0,315.92,40.63
2015-11-02,Monday,MSFT,DCA_Monthly,46.2,DCA,2.16459,100.0,9.93979,400.0,461.13,46.39
2015-12-07,Monday,MSFT,DCA_Monthly,48.88,DCA,2.046,100.0,11.98579,500.0,586.82,48.96
2016-01-04,Monday,MSFT,DCA_Monthly,47.66,DCA,2.09825,100.0,14.08404,600.0,677.07,48.07
2016-02-01,Monday,MSFT,DCA_Monthly,48.07,DCA,2.08035,100.0,16.16439,700.0,775.8,47.99
2016-03-07,Monday,MSFT,DCA_Monthly,45.28,DCA,2.20872,100.0,18.3731,800.0,828.4,45.09
2016-04-04,Monday,MSFT,DCA_Monthly,48.93,DCA,2.0437,100.0,20.4168,900.0,999.91,48.98
2016-05-02,Monday,MSFT,DCA_Monthly,44.43,DCA,2.25077,100.0,22.66757,1000.0,1013.61,44.72
2016-06-06,Monday,MSFT,DCA_Monthly,46.35,DCA,2.15769,100.0,24.82526,1100.0,1151.43,46.38
2016-07-11,Monday,MSFT,DCA_Monthly,46.8,DCA,2.13687,100.0,26.96213,1200.0,1261.58,46.79
2016-08-01,Monday,MSFT,DCA_Monthly,50.29,DCA,1.98866,100.0,28.95078,1300.0,1457.41,50.34
2016-09-12,Monday,MSFT,DCA_Monthly,50.55,DCA,1.97809,100.0,30.92887,1400.0,1579.7,51.08
2016-10-03,Monday,MSFT,DCA_Monthly,51.35,DCA,1.94731,100.0,32.87618,1500.0,1690.05,51.41
2016-11-07,Monday,MSFT,DCA_Monthly,53.83,DCA,1.85776,100.0,34.73394,1600.0,1878.84,54.09
2016-12-05,Monday,MSFT,DCA_Monthly,54.1,DCA,1.8486,100.0,36.58254,1700.0,1985.61,54.28
2017-01-09,Monday,MSFT,DCA_Monthly,56.56,DCA,1.76796,100.0,38.3505,1800.0,2165.22,56.46
2017-02-06,Monday,MSFT,DCA_Monthly,57.22,DCA,1.7477,100.0,40.0982,1900.0,2300.04,57.36
2017-03-06,Monday,MSFT,DCA_Monthly,58.17,DCA,1.71902,100.0,41.81722,2000.0,2437.07,58.28
2017-04-03,Monday,MSFT,DCA_Monthly,59.51,DCA,1.68052,100.0,43.49774,2100.0,2585.5,59.44
2017-05-01,Monday,MSFT,DCA_Monthly,62.6,DCA,1.59745,100.0,45.09518,2200.0,2838.29,62.94
2017-06-05,Monday,MSFT,DCA_Monthly,65.88,DCA,1.51793,100.0,46.61311,2300.0,3072.65,65.92
2017-07-03,Monday,MSFT,DCA_Monthly,62.73,DCA,1.59423,100.0,48.20734,2400.0,2997.05,62.17
2017-08-07,Monday,MSFT,DCA_Monthly,66.2,DCA,1.51055,100.0,49.71789,2500.0,3282.75,66.03
2017-09-11,Monday,MSFT,DCA_Monthly,68.38,DCA,1.46246,100.0,51.18035,2600.0,3508.06,68.54
2017-10-02,Monday,MSFT,DCA_Monthly,68.45,DCA,1.46094,100.0,52.64129,2700.0,3600.96,68.41
2017-11-06,Monday,MSFT,DCA_Monthly,77.35,DCA,1.29287,100.0,53.93416,2800.0,4176.97,77.45
2017-12-04,Monday,MSFT,DCA_Monthly,76.16,DCA,1.31295,100.0,55.24711,2900.0,4127.56,74.71
2018-01-08,Monday,MSFT,DCA_Monthly,81.24,DCA,1.23093,100.0,56.47804,3000.0,4594.22,81.35
