Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close,Low
"2025-02-11","Monday","TQQQ","Buy_on_Dip",83.6978,"1%",1,83.6978,46,3707.6901,3896.7638,84.7123,84.5432,81.6300052955834
"2025-02-11","Monday","TQQQ","Buy_on_Dip",82.8524,"2%",1,82.8524,47,3790.5425,3981.4761,84.7123,84.5432,81.6300052955834
"2025-02-11","Monday","TQQQ","Buy_on_Dip",82.0069,"3%",1,82.0069,48,3872.5494,4066.1884,84.7123,84.5432,81.6300052955834
"2025-02-17","Sunday","TQQQ","Buy_on_Dip",88.4226,"1%",1,88.4226,49,3960.972,4403.7546,89.8725,89.3158,88.24193245753274
"2025-02-18","Monday","TQQQ","Buy_on_Dip",88.9738,"1%",1,88.9738,50,4049.9459,4494.1242,89.8825,89.8725,88.41095372309837
"2025-02-19","Tuesday","TQQQ","Buy_on_Dip",88.9837,"1%",1,88.9837,51,4138.9295,4528.2282,88.7888,89.8825,86.39258071368558
"2025-02-19","Tuesday","TQQQ","Buy_on_Dip",88.0848,"2%",1,88.0848,52,4227.0143,4617.017,88.7888,89.8825,86.39258071368558
"2025-02-19","Tuesday","TQQQ","Buy_on_Dip",87.186,"3%",1,87.186,53,4314.2004,4705.8058,88.7888,89.8825,86.39258071368558
"2025-02-20","Wednesday","TQQQ","Buy_on_Dip",87.9009,"1%",1,87.9009,54,4402.1013,4494.4626,83.2308,88.7888,82.9921652230052
"2025-02-20","Wednesday","TQQQ","Buy_on_Dip",87.013,"2%",1,87.013,55,4489.1143,4577.6934,83.2308,88.7888,82.9921652230052
"2025-02-20","Wednesday","TQQQ","Buy_on_Dip",86.1251,"3%",1,86.1251,56,4575.2394,4660.9242,83.2308,88.7888,82.9921652230052
"2025-02-20","Wednesday","TQQQ","Buy_on_Dip",85.2372,"4%",1,85.2372,57,4660.4766,4744.155,83.2308,88.7888,82.9921652230052
"2025-02-20","Wednesday","TQQQ","Buy_on_Dip",84.3493,"5%",1,84.3493,58,4744.826,4827.3858,83.2308,88.7888,82.9921652230052
"2025-02-23","Saturday","TQQQ","Buy_on_Dip",82.3985,"1%",1,82.3985,59,4827.2245,4734.0428,80.238,83.2308,80.03916219412697
"2025-02-23","Saturday","TQQQ","Buy_on_Dip",81.5662,"2%",1,81.5662,60,4908.7906,4814.2809,80.238,83.2308,80.03916219412697
"2025-02-23","Saturday","TQQQ","Buy_on_Dip",80.7339,"3%",1,80.7339,61,4989.5245,4894.5189,80.238,83.2308,80.03916219412697
