Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2021-05-17,Monday,ALLY,DCA_Weekly,46.95,25.00,0.53246652,355.06262228,6750.00,16670.65,46.95
2021-05-24,Monday,ALLY,DCA_Weekly,46.37,25.00,0.53913358,355.60175586,6775.00,16489.50,46.37
2021-06-07,Monday,ALLY,DCA_Weekly,47.69,25.00,0.52424199,356.12599785,6800.00,16982.90,47.69
2021-06-14,Monday,ALLY,DCA_Weekly,46.28,25.00,0.54014297,356.66614082,6825.00,16507.95,46.28
2021-06-21,Monday,ALLY,DCA_Weekly,43.53,25.00,0.57433873,357.24047955,6850.00,15550.08,43.53
2021-06-28,Monday,ALLY,DCA_Weekly,43.52,25.00,0.57445316,357.81493270,6875.00,15571.98,43.52
2021-07-12,Monday,ALLY,DCA_Weekly,44.94,25.00,0.55628687,358.37121957,6900.00,16105.50,44.94
2021-07-19,Monday,ALLY,DCA_Weekly,41.58,25.00,0.60127209,358.97249166,6925.00,14925.54,41.58
2021-07-26,Monday,ALLY,DCA_Weekly,44.99,25.00,0.55564397,359.52813562,6950.00,16176.19,44.99
2021-08-02,Monday,ALLY,DCA_Weekly,44.51,25.00,0.56163632,360.08977195,6975.00,16028.60,44.51
2021-08-09,Monday,ALLY,DCA_Weekly,45.10,25.00,0.55437040,360.64414234,7000.00,16263.68,45.10
2021-08-16,Monday,ALLY,DCA_Weekly,46.79,25.00,0.53425463,361.17839697,7025.00,16901.04,46.79
2021-08-23,Monday,ALLY,DCA_Weekly,44.89,25.00,0.55695142,361.73534839,7050.00,16237.29,44.89
2021-08-30,Monday,ALLY,DCA_Weekly,45.19,25.00,0.55319538,362.28854377,7075.00,16372.54,45.19
2021-09-13,Monday,ALLY,DCA_Weekly,46.00,25.00,0.54345726,362.83200103,7100.00,16690.92,46.00
